BoroughCode,StatusOrderNumber,SignSequence,Distance,ArrowPoints,SignDescription
B,P-070574,4,220,   ,NO PARKING (SANITATION BROOM SYMBOL) 11:30AM TO 1PM TUES  (DON'T LITTER) (SUPERSEDES SP-457C DATED 7-27-99)                                                       
B,P-070574,5,315,   ,NO PARKING (SANITATION BROOM SYMBOL) 11:30AM TO 1PM TUES  (DON'T LITTER) (SUPERSEDES SP-457C DATED 7-27-99)                                                       
B,P-070574,6,485,   ,NO PARKING (SANITATION BROOM SYMBOL) 11:30AM TO 1PM TUES  (DON'T LITTER) (SUPERSEDES SP-457C DATED 7-27-99)                                                       
B,P-070574,7,644,   ,NO PARKING (SANITATION BROOM SYMBOL) 11:30AM TO 1PM TUES  (DON'T LITTER) (SUPERSEDES SP-457C DATED 7-27-99)                                                       
B,P-070574,8,736,   ,NO PARKING (SANITATION BROOM SYMBOL) 11:30AM TO 1PM TUES  (DON'T LITTER) (SUPERSEDES SP-457C DATED 7-27-99)                                                       
B,P-070574,9,736,   ,METERS ARE NOT IN EFFECT ABOVE TIMES (RIDER)                                                                                                                            
B,P-070574,10,736,N  ,2 HOUR PARKING 9AM-7PM EXCEPT SUNDAY W/ SINGLE ARROW                                                                                                                    
B,P-070574,11,813,   ,NO PARKING (SANITATION BROOM SYMBOL) 11:30AM TO 1PM TUES  (DON'T LITTER) (SUPERSEDES SP-457C DATED 7-27-99)                                                       
B,P-070574,12,813,   ,METERS ARE NOT IN EFFECT ABOVE TIMES (RIDER)                                                                                                                            
B,P-070574,13,813,   ,2 HOUR PARKING 9AM-7PM EXCEPT SUNDAY                                                                                                                             
B,P-070574,14,817,   ,Building Line
B,P-070574,15,837,   ,Curb Line
B,P-072053,1,0,   ,Curb Line
B,P-072053,2,13,   ,Building Line
B,P-072053,3,119,   ,NO PARKING (SANITATION BROOM SYMBOL) 8-8:30AM EXCEPT SUN  (SUPERSEDES SP-182C)                                                                                    
B,P-072053,4,119,   ,1 HOUR PARKING 8:30AM-7PM EXCEPT SUNDAY                                                                                                                            
B,P-072053,5,205,   ,NO PARKING (SANITATION BROOM SYMBOL) 8-8:30AM EXCEPT SUN  (SUPERSEDES SP-182C)                                                                                    
B,P-072053,6,205,   ,1 HOUR PARKING 8:30AM-7PM EXCEPT SUNDAY                                                                                                                            
B,P-072053,7,216,   ,Building Line
B,P-072053,8,236,   ,Curb Line
B,P-072060,1,0,   ,Curb Line
B,P-072060,2,20,   ,Building Line
B,P-072060,3,130,   ,NO PARKING (SANITATION BROOM SYMBOL) 11:30AM TO 1PM THURS                                                                                                         
B,P-072060,4,130,   ,METERS ARE NOT IN EFFECT ABOVE TIMES (RIDER)                                                                                                                            
B,P-072060,5,130,N  ,2 HOUR PARKING 9AM-7PM EXCEPT SUNDAY W/ SINGLE ARROW                                                                                                                    
B,P-072060,6,144,   ,NO PARKING (SANITATION BROOM SYMBOL) 11:30AM TO 1PM THURS                                                                                                         
B,P-072060,7,278,   ,NO PARKING (SANITATION BROOM SYMBOL) 11:30AM TO 1PM THURS                                                                                                         
B,P-072060,8,426,   ,NO PARKING (SANITATION BROOM SYMBOL) 11:30AM TO 1PM THURS                                                                                                         
B,P-072060,9,480,   ,Building Line
B,P-072060,10,495,   ,Curb Line
B,P-075539,1,0,   ,Curb Line
B,P-075539,2,19,   ,Building Line
B,P-075539,3,231,   ,Building Line
B,P-075539,4,243,   ,Curb Line
B,P-076559,1,0,   ,Curb Line
B,P-076559,2,248,   ,Property Line
B,P-076661,1,0,   ,Curb Line
B,P-076661,2,11,   ,Property Line
B,P-076661,3,94,N  ,NO STANDING(SINGLE ARROW)HANDICAP BUS(SYMBOL)W/4 ROUTES +(15X12 4 ROUTE RIDER-IF NECESSARY) REVISED 3/25/92 & SUPERSEDES SP-298BA                                       
B,P-076661,4,812,S  ,NO PARKING 8AM-6PM MON THRU FRI (ARROW) (SUPERSEDED BY R7-45RA)                                                                                                         
B,P-076661,5,946,N  ,NO PARKING 8AM-6PM MON THRU FRI (ARROW) (SUPERSEDED BY R7-45RA)                                                                                                         
B,P-076661,6,946,S  ,NO PARKING (SANITATION BROOM SYMBOL) 9-9:30AM SAT W/SINGLE ARROW SUPERSEDED BY SP-523CA DATED 4/10/96                                                                   
B,P-076661,7,946,S  ,2 HOUR PARKING 9AM-7PM EXCEPT SUNDAY W/ SINGLE ARROW                                                                                                                    
B,P-076661,8,946,   ,METERS ARE NOT IN EFFECT ABOVE TIMES (RIDER)                                                                                                                            
B,P-076661,9,1004,S  ,NO STANDING(SINGLE ARROW)HANDICAP BUS(SYMBOL)W/4 ROUTES +(15X12 4 ROUTE RIDER-IF NECESSARY) REVISED 3/25/92 & SUPERSEDES SP-298BA                                       
B,P-076661,10,1068,N  ,NO STANDING(SINGLE ARROW)HANDICAP BUS(SYMBOL)W/4 ROUTES +(15X12 4 ROUTE RIDER-IF NECESSARY) REVISED 3/25/92 & SUPERSEDES SP-298BA                                       
B,P-076661,11,1148,   ,NO PARKING (SANITATION BROOM SYMBOL) 9-9:30AM SAT SUPERSEDED BY SP-523C DATED 4/10/96                                                                             
B,P-076661,12,1148,   ,2 HOUR PARKING 9AM-7PM EXCEPT SUNDAY                                                                                                                             
B,P-076661,13,1148,   ,METERS ARE NOT IN EFFECT ABOVE TIMES (RIDER)                                                                                                                            
B,P-076661,14,1297,   ,NO PARKING (SANITATION BROOM SYMBOL) 9-9:30AM SAT SUPERSEDED BY SP-523C DATED 4/10/96                                                                             
B,P-076661,15,1297,   ,2 HOUR PARKING 9AM-7PM EXCEPT SUNDAY                                                                                                                             
B,P-076661,16,1297,   ,METERS ARE NOT IN EFFECT ABOVE TIMES (RIDER)                                                                                                                            
B,P-076661,17,1378,   ,Building Line
B,P-076661,18,1396,   ,Curb Line
B,P-089057,1,0,   ,Curb Line
B,P-089057,2,65,   ,Property Line
B,P-089057,3,80,   ,Curb Line
B,P-089988,1,0,   ,Curb Line
B,P-089988,2,4,   ,Property Line
B,P-089988,3,7,   ,NO PARKING (SANITATION BROOM SYMBOL) 8:30-10AM TUES & FRI                                                                                                        
B,P-089988,4,7,   ,OTHER TIMES (RIDER FOR PARKING RESTRICTED SIGNS - RED/WHITE)                                                                                                            
B,P-089988,5,7,   ,1 HOUR PARKING 9AM-7PM EXCEPT SUNDAY                                                                                                                                    
B,P-089988,6,122,W  ,NO PARKING (SANITATION BROOM SYMBOL) 8:30-10AM TUES & FRI W/SINGLE ARROW                                                                                                
B,P-089988,7,122,   ,OTHER TIMES (RIDER FOR PARKING RESTRICTED SIGNS - RED/WHITE)                                                                                                            
B,P-089988,8,122,W  ,1 HOUR PARKING 9AM-7PM EXCEPT SUNDAY (ARROW)                                                                                                                            
B,P-089988,9,122,E  ,NO STANDING EXCEPT TRUCKS LOADING & UNLOADING 6AM-4PM EXCEPT SUNDAY W/SINGLE ARROW                                                                                      
B,P-089988,10,172,W  ,NO STANDING EXCEPT TRUCKS LOADING & UNLOADING 6AM-4PM EXCEPT SUNDAY W/SINGLE ARROW                                                                                      
B,P-089988,11,172,E  ,NO PARKING (SANITATION BROOM SYMBOL) 8:30-10AM TUES & FRI W/SINGLE ARROW                                                                                                
B,P-089988,12,172,   ,OTHER TIMES (RIDER FOR PARKING RESTRICTED SIGNS - RED/WHITE)                                                                                                            
B,P-089988,13,172,E  ,1 HOUR PARKING 9AM-7PM EXCEPT SUNDAY (ARROW)                                                                                                                            
B,P-089988,14,248,   ,NO PARKING (SANITATION BROOM SYMBOL) 8:30-10AM TUES & FRI                                                                                                        
B,P-089988,15,248,   ,OTHER TIMES (RIDER FOR PARKING RESTRICTED SIGNS - RED/WHITE)                                                                                                            
B,P-089988,16,248,   ,1 HOUR PARKING 9AM-7PM EXCEPT SUNDAY                                                                                                                                    
B,P-089988,17,267,   ,Property Line
B,P-089988,18,278,   ,Curb Line
B,P-095070,1,0,   ,Curb Line
B,P-095070,2,59,   ,NO STANDING ANYTIME (REPLACED BY SP-10B)                                                                                                                                
B,P-095070,3,108,   ,Curb Line
B,P-112619,1,0,   ,Curb Line
B,P-112619,2,18,   ,Building Line
B,P-112619,3,48,   ,NO PARKING (SANITATION BROOM SYMBOL) 8:30-10AM MON & THURS                                                                                                        
B,P-112619,4,177,   ,NO PARKING (SANITATION BROOM SYMBOL) 8:30-10AM MON & THURS                                                                                                        
B,P-112619,5,319,   ,NO PARKING (SANITATION BROOM SYMBOL) 8:30-10AM MON & THURS                                                                                                        
B,P-112619,6,467,   ,NO PARKING (SANITATION BROOM SYMBOL) 8:30-10AM MON & THURS                                                                                                        
B,P-112619,7,637,   ,NO PARKING (SANITATION BROOM SYMBOL) 8:30-10AM MON & THURS                                                                                                        
B,P-112619,8,682,   ,NO PARKING (SANITATION BROOM SYMBOL) 8:30-10AM MON & THURS                                                                                                        
B,P-112619,9,682,   ,METERS ARE NOT IN EFFECT ABOVE TIMES (RIDER)                                                                                                                            
B,P-112619,10,682,S  ,1 HOUR PARKING 9AM-7PM EXCEPT SUNDAY (ARROW)                                                                                                                            
B,P-112619,11,755,   ,NO PARKING (SANITATION BROOM SYMBOL) 8:30-10AM MON & THURS                                                                                                        
B,P-112619,12,755,   ,METERS ARE NOT IN EFFECT ABOVE TIMES (RIDER)                                                                                                                            
B,P-112619,13,755,   ,1 HOUR PARKING 9AM-7PM EXCEPT SUNDAY                                                                                                                                    
B,P-112619,14,775,   ,Property Line
B,P-112619,15,795,   ,Curb Line
B,P-112653,1,0,   ,Curb Line
B,P-112653,2,13,   ,Building Line
B,P-112653,3,52,   ,NO PARKING (SANITATION BROOM SYMBOL) 8:30-10AM TUES & FRI                                                                                                        
B,P-112653,4,52,   ,METERS ARE NOT IN EFFECT ABOVE TIMES (RIDER)                                                                                                                            
B,P-112653,5,52,   ,1 HOUR PARKING 9AM-7PM EXCEPT SUNDAY                                                                                                                                    
B,P-112653,6,128,   ,NO PARKING (SANITATION BROOM SYMBOL) 8:30-10AM TUES & FRI                                                                                                        
B,P-112653,7,128,   ,METERS ARE NOT IN EFFECT ABOVE TIMES (RIDER)                                                                                                                            
B,P-112653,8,128,S  ,1 HOUR PARKING 9AM-7PM EXCEPT SUNDAY (ARROW)                                                                                                                            
B,P-112653,9,168,   ,NO PARKING (SANITATION BROOM SYMBOL) 8:30-10AM TUES & FRI                                                                                                        
B,P-112653,10,324,   ,NO PARKING (SANITATION BROOM SYMBOL) 8:30-10AM TUES & FRI                                                                                                        
B,P-112653,11,501,   ,NO PARKING (SANITATION BROOM SYMBOL) 8:30-10AM TUES & FRI                                                                                                        
B,P-112653,12,660,   ,NO PARKING (SANITATION BROOM SYMBOL) 8:30-10AM TUES & FRI                                                                                                        
B,P-112653,13,780,   ,NO PARKING (SANITATION BROOM SYMBOL) 8:30-10AM TUES & FRI                                                                                                        
B,P-112653,14,814,   ,Building Line
B,P-112653,15,832,   ,Curb Line
B,P-115847,1,0,   ,Curb Line
B,P-115847,2,13,   ,Building Line
B,P-115847,3,38,   ,NO PARKING (SANITATION BROOM SYMBOL) 9-10:30AM MON & THURS                                                                                                        
B,P-115847,4,95,   ,NO PARKING (SANITATION BROOM SYMBOL) 9-10:30AM MON & THURS                                                                                                        
B,P-115847,5,194,   ,Building Line
B,P-115847,6,208,   ,Curb Line
B,P-129870,1,0,   ,Curb Line
B,P-129870,2,17,   ,Building Line
B,P-129870,3,38,   ,NO PARKING (SANITATION BROOM SYMBOL) 7:30-8AM EXCEPT SUN                                                                                                         
B,P-129870,4,38,   ,2 HOUR PARKING 8AM-7PM EXCEPT SUNDAY                                                                                                                                    
B,P-129870,5,123,   ,NO PARKING (SANITATION BROOM SYMBOL) 7:30-8AM EXCEPT SUN                                                                                                         
B,P-129870,6,123,   ,2 HOUR PARKING 8AM-7PM EXCEPT SUNDAY                                                                                                                                    
B,P-129870,7,286,E  ,NO PARKING (SANITATION BROOM SYMBOL) 7:30-8AM EXCEPT SUN W/ SINGLE ARROW                                                                                                
B,P-129870,8,286,E  ,2 HOUR PARKING 8AM-7PM EXCEPT SUNDAY (ARROW)                                                                                                                            
B,P-129870,9,286,   ,Building Line
B,P-129870,10,297,   ,Curb Line
B,P-132428,1,0,   ,Curb Line
B,P-132428,2,25,   ,Property Line
B,P-132428,3,45,   ,NO STANDING 10AM-6PM MON THRU FRI                                                                                                                               
B,P-132428,4,45,   ,EXCEPT (RIDER)                                                                                                                                                          
B,P-132428,5,45,   ,AMBULETTE                                                                                                                                                               
B,P-132428,6,80,S  ,NO STANDING 10AM-6PM MON THRU FRI (SINGLE ARROW)                                                                                                                        
B,P-132428,7,80,   ,EXCEPT (RIDER)                                                                                                                                                          
B,P-132428,8,80,   ,AMBULETTE                                                                                                                                                               
B,P-132428,9,116,   ,NO PARKING (SANITATION BROOM SYMBOL) 11:30AM TO 1PM TUES & FRI                                                                                                    
B,P-132428,10,116,S  ,OTHER TIMES 1 HOUR PARKING 9AM-7PM EXCEPT SUNDAY (ARROW)                                                                                                                
B,P-132428,11,167,S  ,NO PARKING (SANITATION BROOM SYMBOL) 11:30AM TO 1PM TUES & FRI W/SINGLE ARROW                                                                                           
B,P-132428,12,167,N  ,NO PARKING PASSENGER LOADING ZONE W/ SINGLE ARROW                                                                                                                       
B,P-132428,13,209,S  ,NO PARKING PASSENGER LOADING ZONE W/ SINGLE ARROW                                                                                                                       
B,P-132428,14,209,N  ,NO PARKING (SANITATION BROOM SYMBOL) 11:30AM TO 1PM TUES & FRI W/SINGLE ARROW                                                                                           
B,P-132428,15,258,S  ,NO PARKING (SANITATION BROOM SYMBOL) 11:30AM TO 1PM TUES & FRI W/SINGLE ARROW                                                                                           
B,P-132428,16,258,N  ,NO PARKING ANYTIME (SINGLE ARROW)(SUPERSEDES R7-40 DON'TUSE R7-40)                                                                                                      
B,P-132428,17,385,S  ,NO PARKING ANYTIME (SINGLE ARROW)(SUPERSEDES R7-40 DON'TUSE R7-40)                                                                                                      
B,P-132428,18,385,N  ,NO PARKING (SANITATION BROOM SYMBOL) 11:30AM TO 1PM TUES & FRI W/SINGLE ARROW                                                                                           
B,P-132428,19,505,   ,NO PARKING (SANITATION BROOM SYMBOL) 11:30AM TO 1PM TUES & FRI                                                                                                    
B,P-132428,20,638,S  ,NO PARKING (SANITATION BROOM SYMBOL) 11:30AM TO 1PM TUES & FRI W/SINGLE ARROW                                                                                           
B,P-132428,21,640,   ,Property Line
B,P-132428,22,654,   ,Curb Line
B,P-135202,1,0,   ,Curb Line
B,P-135202,2,10,   ,Property Line
B,P-135202,3,119,   ,BUS LAYOVER AREA NO STANDING ANYTIME  (NO ENGINE IDLING SYMBOL) NO ENGINE IDLING MAX FINE $XXXX (XXXX = AMT TO BE DETERMINED)                                    
B,P-135202,4,185,   ,BUS LAYOVER AREA NO STANDING ANYTIME  (NO ENGINE IDLING SYMBOL) NO ENGINE IDLING MAX FINE $XXXX (XXXX = AMT TO BE DETERMINED)                                    
B,P-135202,5,202,   ,Curb Line
B,P-149191,1,0,   ,Curb Line
B,P-149191,2,10,   ,Property Line
B,P-149191,3,43,   ,NO PARKING (SANITATION BROOM SYMBOL) 7:30-8AM TUES & FRI                                                                                                         
B,P-149191,4,43,   ,1 HOUR PARKING 8AM-7PM EXCEPT SUNDAY                                                                                                                                    
B,P-149191,5,118,   ,NO PARKING (SANITATION BROOM SYMBOL) 7:30-8AM TUES & FRI                                                                                                         
B,P-149191,6,118,   ,1 HOUR PARKING 8AM-7PM EXCEPT SUNDAY                                                                                                                                    
B,P-149191,7,198,   ,NO PARKING (SANITATION BROOM SYMBOL) 7:30-8AM TUES & FRI                                                                                                         
B,P-149191,8,198,   ,1 HOUR PARKING 8AM-7PM EXCEPT SUNDAY                                                                                                                                    
B,P-149191,9,220,   ,Property Line
B,P-149191,10,252,   ,Curb Line
B,P-149195,1,0,   ,Curb Line
B,P-149195,2,19,   ,Building Line
B,P-149195,3,37,   ,NO PARKING (SANITATION BROOM SYMBOL) 8-8:30AM MON & THURS                                                                                                        
B,P-149195,4,226,   ,NO PARKING (SANITATION BROOM SYMBOL) 8-8:30AM MON & THURS                                                                                                        
B,P-149195,5,226,S  ,1 HOUR PARKING 8:30AM-7PM EXCEPT SUNDAY W/SINGLE ARROW                                                                                                                  
B,P-149195,6,292,   ,NO PARKING (SANITATION BROOM SYMBOL) 8-8:30AM MON & THURS                                                                                                        
B,P-149195,7,292,N  ,1 HOUR PARKING 8:30AM-7PM EXCEPT SUNDAY W/SINGLE ARROW                                                                                                                  
B,P-149195,8,293,   ,Building Line
B,P-149195,9,314,   ,Curb Line
B,P-151744,1,0,   ,Curb Line
B,P-151744,2,12,   ,Building Line
B,P-151744,3,55,   ,NO PARKING (SANITATION BROOM SYMBOL) 7:30-8AM EXCEPT SUN                                                                                                         
B,P-151744,4,55,   ,1 HOUR PARKING 8AM-7PM EXCEPT SUNDAY                                                                                                                                    
B,P-151744,5,150,   ,NO PARKING (SANITATION BROOM SYMBOL) 7:30-8AM EXCEPT SUN                                                                                                         
B,P-151744,6,150,   ,1 HOUR PARKING 8AM-7PM EXCEPT SUNDAY                                                                                                                                    
B,P-151744,7,216,   ,Building Line
B,P-151744,8,227,   ,Curb Line
B,P-152396,1,0,   ,Curb Line
B,P-152396,2,12,   ,Building Line
B,P-152396,3,74,   ,NO PARKING (SANITATION BROOM SYMBOL) 8:30-9AM EXCEPT SUN  (SUPERSEDES SP-183C DATED 7/10/97)                                                                      
B,P-152396,4,74,   ,1 HOUR PARKING 9AM-8PM EXCEPT SUNDAY                                                                                                                             
B,P-152396,5,152,   ,NO PARKING (SANITATION BROOM SYMBOL) 8:30-9AM EXCEPT SUN  (SUPERSEDES SP-183C DATED 7/10/97)                                                                      
B,P-152396,6,152,   ,1 HOUR PARKING 9AM-8PM EXCEPT SUNDAY                                                                                                                             
B,P-152396,7,260,N  ,NO PARKING (SANITATION BROOM SYMBOL) 8:30-9AM EXCEPT SUNW/SINGLE ARROW (SUPERSEDES SP-183CA DATED 7/10/97)                                                              
B,P-152396,8,260,N  ,1 HOUR PARKING 9AM-8PM EXCEPT SUNDAY W/ SINGLE ARROW                                                                                                                    
B,P-152396,9,260,   ,Building Line
B,P-152396,10,270,   ,Curb Line
B,P-152425,1,0,   ,Curb Line
B,P-152425,2,20,   ,Building Line
B,P-152425,3,43,W  ,NO PARKING (BROOM SYMBOL) 9-9:30AM EXCEPT SUN W/ SINGLE ARROW                                                                                                           
B,P-152425,4,43,W  ,2 HOUR PARKING 9:30AM-7PM EXCEPT SUNDAY W/SINGLE ARROW                                                                                                                  
B,P-152425,5,374,   ,Property Line
B,P-152425,6,384,   ,Curb Line
B,P-155616,1,0,   ,Curb Line
B,P-155616,2,15,   ,Property Line
B,P-155616,3,30,   ,NO PARKING (SANITATION BROOM SYMBOL) 7:30-8AM EXCEPT SUN                                                                                                         
B,P-155616,4,30,   ,1 HOUR PARKING 8AM-7PM EXCEPT SUNDAY                                                                                                                                    
B,P-155616,5,195,   ,NO PARKING (SANITATION BROOM SYMBOL) 7:30-8AM EXCEPT SUN                                                                                                         
B,P-155616,6,195,   ,1 HOUR PARKING 8AM-7PM EXCEPT SUNDAY                                                                                                                                    
B,P-155616,7,216,   ,Property Line
B,P-155616,8,231,   ,Curb Line
B,P-158196,1,0,   ,Curb Line
B,P-158196,2,10,   ,Property Line
B,P-158196,3,37,   ,NO PARKING (SANITATION BROOM SYMBOL) 11:30AM TO 1PM TUES & FRI                                                                                                    
B,P-158196,4,147,   ,NO PARKING (SANITATION BROOM SYMBOL) 11:30AM TO 1PM TUES & FRI                                                                                                    
B,P-158196,5,275,   ,NO PARKING (SANITATION BROOM SYMBOL) 11:30AM TO 1PM TUES & FRI                                                                                                    
B,P-158196,6,414,   ,NO PARKING (SANITATION BROOM SYMBOL) 11:30AM TO 1PM TUES & FRI                                                                                                    
B,P-158196,7,538,   ,NO PARKING (SANITATION BROOM SYMBOL) 11:30AM TO 1PM TUES & FRI                                                                                                    
B,P-158196,8,675,   ,NO PARKING (SANITATION BROOM SYMBOL) 11:30AM TO 1PM TUES & FRI                                                                                                    
B,P-158196,9,791,   ,NO PARKING (SANITATION BROOM SYMBOL) 11:30AM TO 1PM TUES & FRI                                                                                                    
B,P-158196,10,893,   ,NO PARKING (SANITATION BROOM SYMBOL) 11:30AM TO 1PM TUES & FRI                                                                                                    
B,P-158196,11,1010,   ,NO PARKING (SANITATION BROOM SYMBOL) 11:30AM TO 1PM TUES & FRI                                                                                                    
B,P-158196,12,1022,   ,Property Line
B,P-158196,13,1033,   ,Curb Line
B,P-159036,1,0,   ,Curb Line
B,P-159036,2,19,   ,Building Line
B,P-159036,3,95,S  ,NO STANDING(SINGLE ARROW)HANDICAP BUS(SYMBOL)W/4 ROUTES +(15X12 4 ROUTE RIDER-IF NECESSARY) REVISED 3/25/92 & SUPERSEDES SP-298BA                                       
B,P-159036,4,247,   ,Property Line
B,P-159036,5,255,   ,Curb Line
B,P-162120,1,0,   ,Curb Line
B,P-162120,2,296,   ,Curb Line
B,P-162121,1,0,   ,Curb Line
B,P-162121,2,281,   ,Curb Line
B,P-162377,1,0,   ,Curb Line
B,P-162377,2,12,   ,Property Line
B,P-162377,3,41,   ,NO PARKING (SANITATION BROOM SYMBOL) 9:30-11AM TUES & FRI  (SUPERSEDED BY SP-63C)                                                                                
B,P-162377,4,99,   ,NO PARKING (SANITATION BROOM SYMBOL) MIDNIGHT TO 3AM THURS  (SUPERSEDED BY SP-606C DATED 4-25-98)                                                                
B,P-162377,5,142,   ,NO PARKING (SANITATION BROOM SYMBOL) 9:30-11AM TUES & FRI  (SUPERSEDED BY SP-63C)                                                                                
B,P-162377,6,307,   ,NO PARKING (SANITATION BROOM SYMBOL) 9:30-11AM TUES & FRI  (SUPERSEDED BY SP-63C)                                                                                
B,P-162377,7,420,   ,NO PARKING (SANITATION BROOM SYMBOL) 9:30-11AM TUES & FRI  (SUPERSEDED BY SP-63C)                                                                                
B,P-162377,8,475,   ,Property Line
B,P-162377,9,489,   ,Curb Line
B,P-170143,1,0,   ,Curb Line
B,P-170143,2,20,   ,Building Line
B,P-170143,3,60,   ,NO PARKING (SANITATION BROOM SYMBOL) 7:30-8AM EXCEPT SUN                                                                                                         
B,P-170143,4,60,   ,2 HOUR PARKING 8AM-7PM EXCEPT SUNDAY                                                                                                                                    
B,P-170143,5,136,   ,NO PARKING (SANITATION BROOM SYMBOL) 7:30-8AM EXCEPT SUN                                                                                                         
B,P-170143,6,136,   ,2 HOUR PARKING 8AM-7PM EXCEPT SUNDAY                                                                                                                                    
B,P-170143,7,236,   ,NO PARKING (SANITATION BROOM SYMBOL) 7:30-8AM EXCEPT SUN                                                                                                         
B,P-170143,8,236,   ,2 HOUR PARKING 8AM-7PM EXCEPT SUNDAY                                                                                                                                    
B,P-170143,9,317,   ,NO PARKING (SANITATION BROOM SYMBOL) 7:30-8AM EXCEPT SUN                                                                                                         
